lambda,w_l,mses4_train,mses4
0.2,"[[150.80890375086247], [10.793124004174018], [-139.65934202911637], [343.51894152741244], [227.24409366929697], [-20.8572980825962], [-84.1067591738589], [-161.2042880731532], [130.14271370656056], [381.6927758523275], [139.42190945963213], [70.22878466256725], [61.72041271429718], [28.89542472643252], [11.696613342564241], [-43.55069977510604], [12.361594042416582], [55.75914747150997], [-22.970132101479827], [37.27115389458899], [87.70020422980558], [-5.814723691367912], [63.50877353015453], [-43.21537992161362], [-88.41016354556295], [37.646702390333196], [12.410777967546444], [64.13327070896915], [35.13670631763232], [18.877676346748956], [62.41228964414127], [45.64300267611523], [-5.014065358890109], [77.17962518220905], [5.24081646198733], [30.661541351760302], [-29.260016320122876], [78.51301699239534], [-14.437155496069655], [21.45146031600362], [-27.291200672116236], [5.731754250127769], [-13.091968951693566], [50.46930822213042], [-43.23196810552145], [-34.74226950322461], [22.47902495781756], [3.936349218621209], [11.51223250239154], [-24.499785990950187], [-3.3444812827182755], [77.43679380492823], [-63.50816762171908], [-9.65276907874429], [8.454734240034863], [31.34032352634721], [-15.394351318246374], [55.77769878584183], [19.628710922835026], [-40.430671914887284], [41.750387387690594], [-8.33400626286731], [-42.06633744647612], [58.1794250552317], [29.246976296967652]]",2634.951051,2925.868442
0.21,"[[150.6999724111245], [10.88705438032846], [-136.51805596110125], [340.02346859534885], [224.6262308989643], [-20.015924051703387], [-81.67350308290712], [-160.02967295785024], [129.83736943641892], [376.8891772199498], [139.07243577471115], [68.42333009761357], [60.16328431512133], [29.20880814167442], [10.844147713633976], [-43.14667670466284], [10.432319666628167], [55.599932278960914], [-21.091271385289332], [38.198145826012954], [86.09876080660727], [-6.643152167619942], [62.808993682629776], [-43.405231650271965], [-87.74551533208779], [37.42342871765545], [13.254476647363765], [62.75799116400324], [34.92340869780997], [18.45054928442744], [61.19831858485003], [45.178970179413035], [-5.382849149241388], [76.15080083753786], [5.373403128764106], [29.88243765406738], [-28.186756856483587], [78.81977961273651], [-15.8156861646704], [20.308688120882085], [-27.530451358870586], [4.448574712727548], [-12.367492013893077], [49.170758149220134], [-43.579530077955525], [-34.438192397651996], [23.19230989912223], [4.046497056811764], [11.626214050928958], [-23.649861766407103], [-2.829443998764964], [76.44347383042168], [-64.05602718454185], [-11.745607857316841], [7.579586335857016], [31.504109206003562], [-15.317530472769148], [56.03278813761059], [19.04077517561135], [-39.35422920499826], [39.847846620579304], [-8.179092598033906], [-42.77459279160129], [57.66830176839408], [30.30790886260759]]",2644.368691,2931.370803
0.22,"[[150.81092011024697], [11.587480209392385], [-133.65736233367326], [336.13289850057146], [222.54065727855655], [-19.518195081274026], [-80.28386640442288], [-159.34828468273633], [129.22541810824856], [372.8474058045234], [139.82694447103523], [68.44520663296858], [61.23360655943827], [29.6722504219502], [11.78913999907986], [-42.01474820292221], [10.346255004396962], [54.80037454625228], [-20.639396148582627], [37.65682463815525], [85.45696617020346], [-6.38463746862867], [62.52211409941553], [-43.22091582317353], [-86.8824461835005], [35.93913977409926], [13.551750581625521], [62.41084530530004], [34.62244699597816], [17.969118554681938], [60.274053501057196], [44.50052042664856], [-5.2037987594911845], [74.2808004057014], [5.598377827271891], [30.113178940787446], [-28.312688686179214], [76.63313885186369], [-16.238398128332907], [19.790292125667136], [-28.156684782608593], [4.978528653934473], [-12.676707553379806], [49.29281516529036], [-43.574321721650925], [-34.63851410306222], [22.780330991086622], [3.9234093256826217], [10.845506509946675], [-23.23300050505881], [-2.248091431789688], [76.27554992104974], [-63.00001539451388], [-10.972910144500341], [7.635785083240013], [31.975187669570285], [-15.449576702546505], [54.453389687066796], [18.80088922205112], [-38.48145479414377], [40.191251038164374], [-8.717596627875903], [-42.10167881137134], [57.36738426680928], [29.861364585146255]]",2652.826895,2938.901245
0.23,"[[150.82844881215104], [12.311015173981673], [-131.22237258785952], [331.5616449278813], [220.30336059129155], [-17.780344826160636], [-78.56216223810748], [-158.76716425636647], [128.0413994530881], [367.7741620163385], [139.425837362861], [67.74082604978538], [64.81225296814634], [30.846316664399406], [12.456178245853982], [-41.25946093092218], [13.083619374636028], [51.426363347285566], [-23.89521841630022], [35.75972108337787], [84.5231948391728], [-5.348737758162005], [61.6703472483406], [-42.00430372726708], [-85.18083430884624], [32.32144691300165], [9.427655303962858], [61.74240445614388], [34.23508467082235], [16.992574612274705], [59.12016027563932], [43.00221575884865], [-4.101227551877567], [73.11624176826543], [4.948804467532077], [30.850228973834405], [-28.86551999639458], [72.62466097215902], [-15.414961940280314], [16.559278833299558], [-26.318901885006664], [6.950270433821244], [-13.688642428098806], [51.356485987713114], [-40.75513490521902], [-35.355754842454836], [19.683674015296244], [1.4692257211984832], [10.250650089562058], [-21.288189269632248], [-4.839791063262682], [74.47792087030491], [-58.319519685691624], [-5.83520890974199], [9.49398924977919], [32.06298430173906], [-16.722614469150038], [45.8248459995765], [17.848379786352744], [-38.21939235529433], [42.47152486866667], [-10.40060835528377], [-37.173497775675614], [56.45269573388632], [27.08302646013644]]",2666.098687,2948.583867
0.24,"[[150.81131124288018], [12.320945306182875], [-128.25465307516623], [328.0827351982294], [217.7923158031939], [-16.63220417613866], [-76.03701199487818], [-157.61525373897032], [127.8803476197031], [363.2925301597089], [139.2072610745185], [66.29715490032245], [64.16172178675735], [31.449109547711178], [11.95560577983908], [-40.407046468875464], [11.908455590480676], [51.44021781538047], [-22.609880049506298], [36.51544898409917], [83.04136524535397], [-5.361666861596901], [61.45831625534448], [-41.33888287183611], [-83.85290116668699], [32.234739506761564], [10.03939747762509], [60.73664285622078], [34.192866317457444], [17.108688020586825], [57.90280727864604], [42.85344550926598], [-3.9213960091182716], [72.0977073059445], [5.28416280580199], [30.24772161243444], [-27.922969768036467], [73.09415543254084], [-16.12305480102289], [15.816911194765195], [-26.969917894012237], [6.7851743235562685], [-12.573064415336674], [51.01533207886996], [-40.73979517278854], [-35.229919305412565], [20.5763751826976], [0.9387672567061638], [10.303591082464079], [-20.313926965524608], [-4.29095902337645], [73.31595063056658], [-58.190314629735575], [-7.274713852350072], [9.027723811465075], [31.74148441088909], [-16.271751869763612], [45.41196318043633], [17.443422886698485], [-37.68093263132315], [41.17609584042371], [-10.366812499669427], [-37.5510336783947], [56.01621591652566], [27.807213394047327]]",2675.878174,2954.325503
0.25,"[[150.79457578742773], [12.578943321582015], [-125.55568088792315], [324.6496496828242], [215.65857110461], [-15.546650755338993], [-73.89491020553244], [-156.71315135794555], [127.58676417209098], [359.23651582025946], [138.83618986965797], [65.16504337590919], [63.88080096930402], [31.812098487484775], [11.948008848767692], [-39.50364331513786], [11.23119192887363], [51.03343125679519], [-22.033187646963086], [36.85803472040952], [81.84859893610164], [-5.113920958320464], [61.0507750386024], [-40.7480440560422], [-82.65088580097684], [31.46932421803075], [10.111351284312933], [60.009801037485026], [34.12449352678419], [17.064103764691602], [56.947873147532505], [42.425836057825045], [-3.756280592616519], [71.22336267114072], [5.303576735461679], [29.798101587026526], [-27.344837482448643], [72.6845568311718], [-16.253218925874442], [15.122169542223045], [-26.963980242780842], [6.9002274553292775], [-11.94567311942448], [51.08109994694456], [-40.363773738635764], [-35.11158771774401], [20.570962090784594], [0.5180760791206078], [10.280957131368439], [-19.323101078214254], [-3.97538475848394], [72.19858621330096], [-57.254014750276276], [-7.397138473456937], [9.08445889312876], [31.553479774379944], [-15.935903512789594], [44.28953708137428], [17.20099993384981], [-37.08533023513282], [40.60089778459269], [-10.62637353500384], [-37.117525162991726], [55.725318195534335], [28.070730094436435]]",2685.587398,2959.848541
0.26,"[[150.80624778569498], [12.559475063272064], [-122.69696403704431], [320.8507008328252], [212.91888696997984], [-14.848490108487432], [-72.05783361958967], [-155.78125780640912], [126.923494799103], [354.2994056238891], [139.4004096615466], [64.47884605254109], [64.8165827080107], [32.82050838448587], [12.136808471934478], [-38.58112368045588], [10.798493575128868], [50.115051596733935], [-21.352258414195532], [36.57905618391568], [80.73018501611406], [-5.563688904251204], [60.74405999075677], [-40.41335419231488], [-81.58396610490016], [30.379467261004706], [9.940597303508738], [59.02267024880998], [33.8129670860692], [16.236402044005725], [55.52887512741486], [42.13408643622794], [-3.231914063808051], [69.59584015183067], [5.777635674058509], [29.98137785398437], [-26.98910625967285], [71.27961738337105], [-17.32761107509907], [13.593004581064617], [-27.415635730596946], [6.8501090077092295], [-11.943475789991494], [50.559702514303275], [-39.96142572193487], [-35.194492187650866], [20.706854310966158], [-0.1971632367252412], [9.757725201745497], [-18.632646919223436], [-3.8080189439974808], [71.40291064577397], [-56.31682398097515], [-7.315637715128057], [9.046342235239335], [31.89768578217904], [-16.199208435652363], [42.16740005340231], [16.714258429950323], [-36.18649074544697], [40.14486790084802], [-10.86283996759244], [-36.31262912945275], [55.0855796164034], [27.749899074811694]]",2696.748756,2968.827107
0.27,"[[150.71478265248044], [13.464295246519647], [-120.69385887668106], [317.31872001031627], [211.42521928344908], [-13.889239895044113], [-70.94962847471501], [-155.2631955234238], [126.09769039094037], [350.75607050627576], [138.94340409226749], [63.98677821482324], [66.38543560629158], [33.043505117805175], [12.804873153224294], [-37.96729244485365], [12.232686384626204], [48.25266435639995], [-22.947036778942312], [35.63752502361226], [80.1572079295462], [-4.905051566738999], [59.8063955446493], [-40.222315764517575], [-80.88569765483732], [27.691856293214595], [7.898548137066653], [58.650982517735265], [33.504944730121764], [15.730559993328566], [55.127637265878114], [40.855458028413395], [-2.917642155512193], [68.45714830129793], [5.328135027149474], [30.405189665613374], [-27.230668908775247], [68.32094286012568], [-16.674307255818213], [12.089112761956581], [-26.252404408162896], [7.948095768912386], [-12.718064309657112], [51.77204127158332], [-38.54021336150622], [-35.41661140070523], [18.214919728955998], [-0.7838778787772323], [9.438149206644121], [-17.40784708648263], [-4.998417666083113], [70.32360031144245], [-53.41419408361475], [-4.107958808396544], [10.168480186512753], [31.976385850498797], [-16.767217648553846], [37.70070938040587], [16.35678522351705], [-35.86894460553412], [41.29478788328918], [-12.269225425417314], [-33.29697747967573], [54.925902421187374], [26.44199406364517]]",2706.859339,2978.289759
0.28,"[[150.80800749267578], [13.749567392623149], [-118.01172997620995], [314.1743629905237], [209.36984256215877], [-12.587376039797167], [-68.49332697873761], [-154.03247154394901], [126.01360305025786], [347.0681385617865], [138.40232493246882], [62.642834076622655], [65.67496431188513], [33.25307141526862], [12.108975335457282], [-37.29366423589654], [11.63028775781018], [48.28725643943718], [-22.348008774590955], [35.94651422430124], [78.81784780383119], [-4.285753315258648], [59.804448542152464], [-39.09305219573992], [-79.29683144190753], [28.124768911871872], [8.38098229339861], [57.836544207113626], [33.376968600200634], [16.420656182379354], [54.023886166454886], [40.518110492474264], [-2.907006217431838], [67.65401507220363], [5.446289106543699], [29.552664755816576], [-26.53625511075301], [69.08896568066068], [-17.069073561209144], [11.694272628695881], [-27.10965946812989], [8.260885202026854], [-11.470156364417697], [51.792515163748064], [-38.84324885577959], [-35.72836293573445], [19.428117262511503], [-1.914959678642211], [9.24777172133465], [-16.790868086065856], [-4.70377795719673], [69.56127375408886], [-53.65422088313279], [-5.817600411999848], [9.23808645153013], [31.44021323492547], [-16.337764240546917], [37.063869985150674], [15.560652075496696], [-35.7529078549498], [40.60748693971049], [-11.89162613304863], [-34.25296186075072], [54.006043807226504], [26.621067644573902]]",2716.318375,2984.347269
0.29,"[[150.77539704713521], [13.66607008237107], [-115.45471929634178], [310.83749830141875], [206.91729133595896], [-12.077012404928064], [-66.91549122194344], [-153.4109187253648], [125.41947142229165], [342.4916185308428], [138.86400119099108], [61.78634693548704], [66.1451766767094], [34.17218341480573], [12.401981319749616], [-36.50512322666413], [10.727376234864515], [47.37504064150688], [-21.359187842246328], [36.11903938068173], [77.72956545113695], [-5.282743102142252], [59.079879857841576], [-39.457629789873934], [-78.87200581627975], [26.60281446991169], [8.088749736856363], [56.789260033920854], [33.12804787250653], [15.130391130321662], [52.87443783873207], [40.221933362781165], [-2.5261402403063515], [66.36535270047881], [5.747323180030316], [29.768957406371143], [-26.074006069745046], [67.50132739016306], [-18.060703327084237], [10.069750790303043], [-26.790355655168195], [7.586498620202368], [-11.75805867682867], [51.02549309431276], [-38.15294032237951], [-35.35178838648439], [18.881038203695162], [-1.8154639928704528], [9.11638526572286], [-15.84509155580736], [-4.498550683176045], [68.4795815708078], [-52.406340028372945], [-5.26331390006731], [9.712677288262253], [31.958064446591102], [-16.580917077733293], [35.454699408063206], [15.518314556940151], [-34.55200618474402], [39.76143863013684], [-12.453260588130203], [-32.89934162325482], [53.95614521031191], [26.825442324830696]]",2727.361503,2992.150531
0.3,"[[150.79677103175115], [13.836608675999814], [-113.26789512307472], [307.68330923720805], [204.89903016778933], [-11.10563863818044], [-65.18664649011544], [-152.49858584400567], [124.94961106515373], [338.7717488571352], [138.7770103185168], [60.96376297191013], [66.77273007229037], [34.83837860985042], [12.310662362793497], [-35.84257001039871], [10.761266611385489], [46.593540083920736], [-21.30552379928235], [35.997633348091], [76.62576922113308], [-5.008435222000216], [58.87547255845729], [-38.68760724935322], [-77.6643005041489], [25.985213859332255], [7.567725426718213], [56.09632071227309], [32.95592069412621], [14.932831001608815], [51.78007613198585], [39.79906735796401], [-2.181473901456253], [65.4795070145741], [5.7589643377126425], [29.539403690373355], [-25.84526288110003], [66.78550315177097], [-18.304265236097574], [9.059521344886853], [-26.972922496957903], [8.036940659924637], [-11.35030371337337], [51.325248620183515], [-37.586506179760605], [-35.5167413842276], [18.981615657050657], [-2.8030998459705785], [8.877792777698604], [-14.99091778729587], [-4.720135823954013], [67.60306796854633], [-51.44489821047735], [-5.002810537029216], [9.782308611330537], [31.827954480360223], [-16.671432095388795], [33.31779024068813], [15.054594020934172], [-34.159947771045566], [39.70509151673153], [-12.694812229087969], [-32.2054601196802], [53.398075396763325], [26.50984138043326]]",2737.282238,2999.69635
0.31,"[[150.79052712692342], [14.09033228484781], [-110.96417261907595], [304.52467109785255], [202.95671408866852], [-10.514859171157052], [-63.70584321220108], [-151.68352656777265], [124.43286800602627], [335.0776987209016], [138.550414405751], [60.29052753956686], [66.70923178724804], [35.078408669772585], [12.461411394619612], [-35.130151125784515], [10.257482217525038], [46.06911062730806], [-20.77669164407866], [36.052919485762594], [75.82953216500188], [-4.89126031028843], [58.47887856721646], [-38.40996256378813], [-76.78262634577123], [24.96646612013664], [7.787386824614174], [55.570256377234536], [32.86621806004308], [14.727720441391615], [51.06733830657255], [39.311510108701604], [-2.1131754439996335], [64.4051602287964], [5.856113096704883], [29.40387875978276], [-25.42641799739707], [65.93301137424004], [-18.580798923940414], [8.421211510130284], [-27.01453819303952], [8.063520172610199], [-11.132117606376264], [51.18168489112739], [-37.363622988904666], [-35.402017837236244], [18.681342693705286], [-2.871742755217034], [8.724771842387707], [-14.299600284210259], [-4.448667809890539], [66.88141120612848], [-50.6816953918406], [-4.918896197365535], [9.77010421084045], [31.914539195271868], [-16.594164436704816], [32.33828697282983], [14.805973438827792], [-33.49494673264613], [39.274027114910425], [-13.004321482090555], [-31.702532362348528], [53.13334778944032], [26.59401475012003]]",2747.195712,3007.800859
0.32,"[[150.78609971843346], [14.434098929641376], [-108.95262072593192], [301.6783604583097], [201.2756053176332], [-9.666407505402432], [-62.19413393964973], [-150.91509193603966], [123.9916294944661], [331.74713719623315], [138.09994783947974], [59.356383476986466], [66.79444964341072], [35.29251011934493], [12.394073102264942], [-34.611258224385125], [10.256187694308887], [45.331868186088464], [-20.86489787306961], [35.95292055229336], [74.9270547400067], [-4.769884079459764], [57.90675925446794], [-38.14135625900343], [-76.0214791513177], [23.969607831569874], [7.189124598866628], [54.88131077169015], [32.64517417507518], [14.531805986832799], [50.38699468792019], [38.709726432500254], [-1.9829729845673458], [63.588851536902915], [5.780707762063245], [29.238990712293212], [-25.094390136511723], [65.00723790574257], [-18.689164018441122], [7.463213002304205], [-26.708911077114543], [8.2373334295601], [-11.01870689461497], [51.30170913304866], [-36.85150602498098], [-35.42180549197126], [18.10286693452499], [-3.3158708881480434], [8.615340445500129], [-13.49634376595488], [-4.724907364020688], [65.96263265106198], [-49.60061251115179], [-4.431080088646673], [9.897489992072689], [31.808672924813376], [-16.642470591011996], [30.506404081472898], [14.426976666768802], [-33.119013247060884], [39.09346339449282], [-13.427821363145807], [-30.777152515033556], [52.77603204726437], [26.34435269170348]]",2756.82134,3015.243313
0.33,"[[150.76370027974207], [14.984298718033923], [-106.98126448315095], [298.93266589612637], [199.8716317635244], [-8.561684436540366], [-60.454262186483746], [-149.9333275834745], [123.72653105512349], [328.99689582247726], [137.21712581923146], [58.38334552468184], [66.36889173085372], [35.0821624567629], [12.130859396410735], [-34.06349106169693], [10.374024463111505], [44.992670651733064], [-21.133613164190557], [35.84662304969373], [73.98338752828485], [-3.8707972756508853], [57.64750382714092], [-37.204464075119375], [-74.77002558624093], [23.80525650222998], [6.991958903159852], [54.43071933703549], [32.479815427205814], [15.125775599954755], [49.74444620865472], [38.05048535523863], [-2.0701555121566493], [63.081530160952006], [5.497465876701642], [28.55309405038077], [-24.83287822153213], [64.91690923345274], [-18.336228874036923], [7.275062599403338], [-26.80969878734289], [8.877516414185887], [-10.324605118431437], [51.822549700082085], [-36.77859532562335], [-35.719707865442615], [18.24483401037074], [-4.2109595104566795], [8.425710654873068], [-12.937814703587838], [-4.815161651709029], [65.30225811647051], [-49.07250678568224], [-4.681433802609584], [9.547578079733471], [31.315311098348584], [-16.348975337165374], [29.287560804947766], [13.864933440916955], [-33.122455703319936], [39.18208498710278], [-13.420575964950483], [-30.84821027180024], [52.116443227402236], [26.058323324800888]]",2765.673778,3022.13044
0.34,"[[150.77772675362266], [15.268650903714011], [-105.01501101615317], [295.9919755905712], [198.10426065317552], [-8.021902240315777], [-59.28946774775008], [-149.30378358218627], [123.08940312379706], [325.48506204908773], [137.10818168304834], [57.77651033589815], [66.90616887570447], [35.4798244116579], [12.351414520767458], [-33.54716511658175], [10.36734282423316], [43.95223902646177], [-21.15404454177875], [35.5706000378491], [73.26014288644359], [-4.011390342306835], [57.03175004129486], [-37.20971314444911], [-74.21046244560918], [22.320916650467023], [6.360675898163767], [53.81223530163547], [32.25648407819195], [14.484989016479894], [49.06010022598428], [37.41745122050173], [-1.8885993520769921], [62.06112617633695], [5.467108143590138], [28.691970286564022], [-24.653213249583168], [63.33976508149304], [-18.628506683749762], [6.083136410289733], [-26.365691804347076], [8.899160916022389], [-10.622024309100324], [51.78072156265219], [-36.12600072602293], [-35.649774892469665], [17.312823465124104], [-4.389774138211302], [8.22975731857838], [-12.150213820754137], [-5.107238295468437], [64.51308844586397], [-47.767484955795275], [-3.672911180363858], [9.89902078053155], [31.573660579128724], [-16.66557626547446], [27.19552308656735], [13.582648545949423], [-32.430233851511275], [39.1237534977536], [-14.00505540194047], [-29.492071284975232], [51.86798806746188], [25.701681330286547]]",2775.728878,3030.638033
0.35,"[[150.79112794857605], [15.203405376287945], [-102.79467106345223], [292.96710242406056], [195.92037082740774], [-7.483318917598373], [-57.83790083626411], [-148.55134712765815], [122.57509514195779], [321.52945938286933], [137.4061656008802], [57.12856580086259], [67.4492018589554], [36.26977739031587], [12.49180968183455], [-32.79647689100897], [9.892816657839063], [43.361792459202846], [-20.44264481807433], [35.653173548394314], [72.3505752788261], [-4.401814968581375], [56.69037510415023], [-37.07570356794413], [-73.46245268668497], [21.321171110102554], [6.2938767906590165], [53.04719274538652], [32.10544951120134], [13.8652168548894], [48.08451830218724], [37.236430866970316], [-1.4630686665224777], [60.82070449715832], [5.872008099201702], [28.86196106413255], [-24.204085867188837], [62.34657920554819], [-19.341496432688267], [4.966309407182414], [-26.58386464607725], [8.807571281294656], [-10.52387163750523], [51.43385186156588], [-35.659607791883076], [-35.48894187901654], [17.188301140659554], [-4.612354093354202], [8.056096164813686], [-11.387940758282312], [-4.919916117141293], [63.64237660311913], [-46.86483441953538], [-3.5018566790053676], [10.07936106039674], [31.73555869647663], [-16.728744589608393], [25.79355475570444], [13.410331431414305], [-31.731893821825178], [38.49829138306591], [-14.396322508085094], [-28.64294800548453], [51.66762795368982], [25.773283742464866]]",2786.421097,3039.641594
0.36,"[[150.7750349749866], [15.694997072889652], [-101.18702912252579], [290.43478194564034], [194.6573925483582], [-6.759138596240631], [-56.67687519843797], [-147.83435862995498], [122.10059753309505], [318.8991052633615], [136.65238085225585], [56.38962840040309], [67.34932715075213], [36.10778751107499], [12.536753645111073], [-32.37067001658839], [10.119358137748007], [42.66229490590069], [-20.83248002791234], [35.427173349323205], [71.67289971911603], [-3.9734108397036674], [56.10830545796041], [-36.77169613466157], [-72.77688436667731], [20.358368581704465], [5.701141886206708], [52.628036820512996], [31.910012864068378], [13.874808826200427], [47.689723456281676], [36.50206323200573], [-1.5042584486921706], [60.24356061778918], [5.577145025791631], [28.611206366515425], [-24.050079526012208], [61.386104329965015], [-19.023783993324702], [4.430312919562384], [-26.08816815789743], [9.152402849127348], [-10.479946369437151], [51.779435521812026], [-35.20879170677682], [-35.528107122138024], [16.38882727417508], [-4.921913431854663], [7.957312271616254], [-10.745132256554122], [-5.224059437531009], [62.91421776775087], [-45.7748018188685], [-2.7492460884914807], [10.25084155162065], [31.568815909179932], [-16.717561759966163], [24.21604452496656], [13.110996249205007], [-31.480756202954268], [38.63761432927483], [-14.808697396177172], [-27.768327802742927], [51.37255853381683], [25.415982877557973]]",2795.221076,3046.92293
0.37,"[[150.76130412668113], [15.694405833974718], [-99.02361621061489], [287.5872021336553], [192.62323013239234], [-6.13395622791188], [-55.12097072980903], [-147.01541628406142], [121.69910281883253], [315.27445037863873], [136.85139446976527], [55.639550038207354], [67.54360708868147], [36.76947163130695], [12.467433421653556], [-31.727683522749594], [9.488876279795983], [42.2440016979507], [-20.00300950747606], [35.61732524308857], [70.64846157172448], [-4.225067520044434], [55.876885122168204], [-36.46769534290006], [-71.9480961626261], [19.89885718083771], [5.842758420407576], [51.87176590012392], [31.755212297134968], [13.453623541301962], [46.64414980288395], [36.300975617245626], [-1.2696687926243948], [59.247329414942264], [5.818624028718712], [28.445229479408333], [-23.65066287724003], [60.873296252318895], [-19.70718701176737], [3.5757200149634327], [-26.46747549594681], [9.016826425690438], [-10.133428221893876], [51.446959836369984], [-34.99693525313721], [-35.46380277083477], [16.759966495913307], [-5.310285504922328], [7.777768956039774], [-10.098458544685617], [-4.960474588705049], [62.20967767391114], [-45.35598069883289], [-3.145020450099323], [10.141245913509424], [31.65475055930361], [-16.720333959781314], [23.26410628688401], [12.837841860053496], [-30.836911593551434], [38.008070581713405], [-14.924052277294004], [-27.536853743134483], [51.02620808175114], [25.600877650133075]]",2805.50748,3055.513199
0.38,"[[150.76249842023665], [15.870248913171526], [-97.22223065436013], [285.0002478039847], [190.99755533126654], [-5.46813124452506], [-53.79962282514427], [-146.26255410565523], [121.25147591362757], [312.19432669447525], [136.48352489684686], [54.90431933941583], [67.60530795706497], [36.9954592001196], [12.440776638330478], [-31.197087572601042], [9.365178171720542], [41.66235718735955], [-19.927272377806474], [35.510417674037896], [69.8674956587222], [-4.115044424318299], [55.488078253477134], [-36.10283040480968], [-71.13802613468033], [19.14949202943932], [5.541968474887332], [51.29497266772789], [31.589808067938247], [13.284444138849556], [45.964937946676436], [35.87475826860016], [-1.1081074064894318], [58.49425776468897], [5.834548990307805], [28.292484220516982], [-23.339889381558898], [60.17076970265877], [-19.861516793162156], [2.820539816105676], [-26.337015138645533], [9.146836702823022], [-9.955551868181471], [51.423952052489035], [-34.61539394293365], [-35.463673669069514], [16.49230617679843], [-5.734751871742438], [7.638003929891897], [-9.486984755521929], [-5.040135618610847], [61.45927500581024], [-44.52747771558117], [-2.9103583526868673], [10.176909346652517], [31.58533360878671], [-16.706194837189972], [21.88039722575877], [12.516473880881325], [-30.440947057908414], [37.79198040954042], [-15.14601541495139], [-26.910223957721982], [50.639578084014246], [25.4043974448606]]",2815.164407,3063.431258
0.39,"[[150.7478081575998], [16.087231532938716], [-95.4846715396338], [282.4415202770025], [189.42135216840558], [-4.853373577573725], [-52.55270428065963], [-145.4852601452543], [120.7990066421364], [309.23279584356726], [136.15454010210877], [54.2039708202437], [67.6188571217554], [37.18902959565061], [12.417533766746798], [-30.696839773034423], [9.215632326264762], [41.15969846436259], [-19.730890525513693], [35.486811224713875], [69.06702129654485], [-4.012301525702031], [55.09864226961985], [-35.799518073286805], [-70.41459224932598], [18.50974711273957], [5.332805775971578], [50.74725460237094], [31.42008910716847], [13.123437213330092], [45.300698562315254], [35.432908038149], [-1.0183258684957401], [57.746128368248165], [5.817232111404774], [28.094543712880192], [-23.07188821856259], [59.492324251331794], [-20.00099082770729], [2.210532217091119], [-26.299439086961176], [9.274963804171335], [-9.753549600206085], [51.43197827026255], [-34.30891503459224], [-35.44845143052312], [16.290865662024434], [-6.059383945809845], [7.510268882186653], [-8.902889151875996], [-5.061068613585297], [60.779467539360404], [-43.82272742392723], [-2.7502388535613758], [10.200198560736919], [31.50677038196553], [-16.679323052284584], [20.728604930713647], [12.256104188785613], [-30.061457609538756], [37.54704605674102], [-15.394641476265491], [-26.39333390535702], [50.33915601614443], [25.319958534066405]]",2824.616502,3071.634386
0.4,"[[150.7238051959463], [16.293845600419644], [-93.83171427415337], [280.06046957059186], [187.99734238653036], [-4.165120399702225], [-51.294750052096425], [-144.84792530508687], [120.43136164055186], [306.4705544525738], [135.77596771317275], [53.50627054515657], [67.70271258661774], [37.40874066140221], [12.442269141561038], [-30.177661925187255], [9.1350146498413], [40.585824414683955], [-19.762288259658845], [35.403679182874164], [68.34252994523894], [-3.837383280334197], [54.71123657750935], [-35.44733126288633], [-69.6597316369116], [17.731765800941975], [4.948167651390762], [50.24226162991869], [31.284665863830817], [12.980177295087584], [44.72079276009541], [35.02601904638082], [-0.8424224485921442], [57.133453266583174], [5.770925358386604], [27.941083385215148], [-22.806292697880682], [58.80174909176854], [-20.00393282526783], [1.5283912640137913], [-26.03711377348847], [9.449456640269673], [-9.599746788903337], [51.546772210417295], [-33.835587464494374], [-35.40522461429265], [15.91090484476132], [-6.426555881132044], [7.435242301909536], [-8.240108800680826], [-5.171514771854691], [60.00298723279702], [-42.881056124107864], [-2.3288941868946518], [10.357785285617302], [31.41037875601139], [-16.634182034644425], [19.338966873812534], [12.012942858502615], [-29.687647903013573], [37.43696250444582], [-15.661334456106944], [-25.671898388073824], [50.04309996485837], [25.12840970338682]]",2833.701145,3078.741809
0.41,"[[150.73465646259694], [16.50142235820265], [-92.26581971197055], [277.68639162877093], [186.5206893172032], [-3.613602472765949], [-50.1684138322283], [-144.04514401397824], [119.97115177240852], [303.7093599728819], [135.37181528781724], [52.81028188618295], [67.65369322023487], [37.53821706584566], [12.28395815063664], [-29.807526153707464], [9.075794400315306], [40.135456106247545], [-19.615305868267114], [35.37435082779212], [67.60401296359777], [-3.7230828787708226], [54.342803449279835], [-35.175645655396586], [-69.0029979550911], [17.189632429543046], [4.7470914158021005], [49.71012056421064], [31.11556316595541], [12.9218384584944], [44.1476195695099], [34.58305818671033], [-0.7967428722234304], [56.393587115412394], [5.781121806002497], [27.76523313362133], [-22.505499189369566], [58.25992227771399], [-20.181712330784485], [0.9411239370749023], [-26.077106056816138], [9.58514847046896], [-9.377848276888464], [51.53996206866436], [-33.60563492709973], [-35.42359223807612], [15.727065316766298], [-6.742418937155637], [7.328718979723047], [-7.71506571300733], [-5.289859501167035], [59.38330718798041], [-42.35000062999523], [-2.3203026196196745], [10.262703766416232], [31.281265793813457], [-16.647604104303536], [18.25522537008667], [11.683446228988194], [-29.433015089432892], [37.14469567967319], [-15.89504194909087], [-25.255106258757504], [49.711924563713644], [25.03639565555988]]",2842.78732,3087.202884
