lambda,w_l,mses4_train,mses4
0.1,"[[151.03453966013342], [6.216691447184393], [-176.697247658721], [394.2781653752543], [258.2165478419905], [-35.1281328471672], [-109.23185426787019], [-170.00839803577193], [137.67439302847225], [442.8448341595024], [134.40421217503382], [79.9071702460626], [42.29996453051438], [15.439478287956126], [7.016598274372653], [-55.51823185519805], [8.87902105312934], [73.62051384280485], [-20.22210425212062], [42.0872915558041], [101.63831308469219], [-7.258392876993704], [69.26215116863102], [-49.763355091496535], [-103.5019687812084], [61.40801326144449], [25.845382300859782], [74.33703534320735], [37.856030203944044], [27.634302495660666], [77.98340522815228], [53.959373470056825], [-12.523139340693792], [96.28500246837243], [3.6479695180024327], [27.337610982268497], [-31.799344947790036], [103.28002281967683], [-9.089642367583918], [44.342444159417134], [-28.406551634377106], [-1.7907312342822175], [-11.861185834335496], [44.550180022827725], [-56.19607164455242], [-32.305096344735766], [33.31754800007719], [16.15120495305931], [16.520319862210833], [-40.5321152398906], [2.3701734436391133], [92.11911853208883], [-88.59416454685483], [-27.953177621221553], [1.1446626567513567], [28.839002729208083], [-10.256177079059052], [101.90381683474648], [25.817235472459604], [-48.98125001794736], [39.50576269643665], [2.5277321848978147], [-66.03998193487051], [63.65139987540993], [37.40653968616186]]",2528.140329,2860.071933
0.11,"[[151.11816582947975], [6.257134839028604], [-171.35814821312576], [388.92400478971035], [254.47176219599717], [-32.90670562207566], [-104.47096400182984], [-169.0416952805138], [137.89525585553318], [435.782304091865], [134.47111704850363], [77.06052623944393], [40.417081438641965], [16.7246562684444], [6.633486056211627], [-54.07026547125071], [4.9172836626165], [72.88862636071369], [-17.217926269839783], [44.13337659596802], [98.52300630176995], [-7.982661664231803], [68.60326822225169], [-48.86139975122816], [-101.47939520685034], [61.173209822078675], [26.798972961507047], [72.57833139368324], [38.00579311528761], [26.26266926676061], [75.1715286317733], [53.40881329629829], [-12.875850918011313], [96.36561257255111], [2.7047374063437495], [25.08662536409832], [-30.846383726488256], [103.9349867197464], [-10.045677664149016], [42.72898201723242], [-27.512647096957306], [-3.649679418889593], [-10.198119238698236], [43.64539292368363], [-55.65798882779374], [-31.641040888995693], [35.05805176008157], [15.410647733546885], [16.956458112362064], [-38.322809709302184], [3.722676911965597], [90.06893022060031], [-88.05679246195214], [-29.730028064371897], [1.2745332055560685], [29.458231338351894], [-9.760569837591472], [101.76076149033744], [25.71764601864793], [-46.21660404084374], [37.605226441409734], [3.0415070973337777], [-66.64479551926087], [63.25971942484974], [39.46482147736682]]",2537.365924,2852.435671
0.12,"[[150.7549910230743], [7.102121368607826], [-169.2593840966937], [383.52882822182914], [251.4095769425587], [-34.04530017024702], [-105.7693686117743], [-168.1826633200246], [135.13265172836253], [429.5327821206504], [135.96329107134156], [78.79106204754792], [45.84842353672296], [17.644715796594564], [8.557170244408356], [-53.46230968980212], [8.831201886591709], [69.77725030970834], [-19.480650943715666], [40.69642197060457], [99.60396073734294], [-8.735141544699413], [67.28396192263784], [-50.672140283231506], [-102.16527780302349], [55.18088975644501], [24.200282143644213], [72.14718952972635], [36.93414485643778], [24.511890557710256], [75.35353083556122], [51.97488628801307], [-11.557919891369938], [90.90659337086075], [4.556327491106754], [29.096303839901516], [-31.245455903259696], [96.18152130941237], [-11.604836390645463], [39.46375515189221], [-28.24568213098022], [-1.860255474227837], [-13.811722090980215], [43.65442669537432], [-54.39058555028136], [-32.25815378951966], [29.80868215001122], [16.02498215850378], [15.132019875341937], [-38.204632273726446], [1.800776807659298], [90.04639901779055], [-84.26473283960514], [-24.256047718943105], [2.276378735402992], [30.586248527923498], [-12.035933311372641], [94.20491102592095], [24.77550039997584], [-46.30862184237354], [39.01896949382983], [-0.08294886800273338], [-60.96219045018012], [62.94098270556392], [35.99524153206427]]",2546.451525,2875.665845
0.13,"[[150.75522879536422], [7.831267796694369], [-165.85173858810694], [379.5252076192906], [249.0734297931451], [-33.707351818829515], [-104.06707491381842], [-167.5374219441644], [134.78175898464033], [425.04712610607123], [137.2783232101041], [78.3520656752825], [46.038305839978605], [18.375180326832297], [9.136708164440206], [-52.52257170468685], [7.363132766538927], [69.45751938337503], [-17.294732171446768], [41.40575515304354], [98.50065764291803], [-9.327891552767944], [66.79160799334667], [-51.37443390561948], [-101.97142121573222], [53.92919963390125], [25.49955613527169], [71.47797083828713], [36.755707316759306], [23.63921709204083], [74.27171713149836], [51.30633410857229], [-11.873780484207973], [88.88251397858286], [4.811615163617862], [29.034953712698403], [-30.96472860504998], [94.56842323374674], [-12.856128749442073], [38.956463322837536], [-29.260745703776305], [-2.3527304842322656], [-13.817490458690548], [43.18272604071939], [-54.86355119711971], [-32.02316937505548], [29.83061123081405], [16.94809648208128], [14.770531670810753], [-37.40892048842695], [2.932751036882006], [89.81493638800403], [-84.22128443053421], [-24.781614820735516], [2.1008727677880774], [31.36117807775175], [-12.186412583645083], [94.35106169669876], [24.81450636642223], [-44.89540500281593], [38.04796796294462], [-0.8467088624934971], [-61.00365232746962], [63.28970570523856], [37.047283582979205]]",2552.222141,2880.672099
0.14,"[[150.74117244955295], [7.729741188712529], [-160.85310634494903], [373.584813339583], [244.8942960935738], [-31.09645523832875], [-99.44374104877359], [-165.88616406357608], [134.55192019505037], [417.2975583726065], [136.67051387326038], [75.93585227247006], [46.304454329642205], [19.85902892912832], [8.444118984980753], [-50.88002388486864], [6.5178648130115615], [68.60400585714468], [-16.81645774940481], [42.011266537208314], [96.14351878439064], [-8.467841359077912], [66.72844296708863], [-49.13941807569922], [-98.74896095596237], [52.95865254611243], [25.11984653618386], [69.99618819053407], [36.90547570119996], [24.0437486541104], [72.10283129531253], [51.021667966026186], [-10.907180487450907], [87.48760168372856], [5.223882730797779], [28.28739471724529], [-29.500474366267465], [95.03598907825854], [-13.334643774353713], [36.81380830504124], [-29.664609555714243], [-1.5847587378212342], [-11.89001510339676], [43.703203698191736], [-53.73685462321784], [-32.18948751558543], [30.632223909154824], [14.66204546268322], [14.824526413504207], [-35.1820562170672], [2.8803686224103653], [87.26659370351632], [-82.40574784802807], [-25.49761648709873], [2.02735197441334], [30.60170321653719], [-11.627948274574386], [90.71971297292697], [23.799791427427696], [-44.3251205328372], [36.94938719453653], [-1.012914854772819], [-60.165983835143145], [62.137478725872846], [37.16156945944731]]",2564.411427,2883.130187
0.15,"[[150.78962506596972], [8.655106348225958], [-157.18397555523435], [366.6743223198844], [241.18496054836874], [-28.573211265802787], [-97.22027058474008], [-165.5539491030637], [132.70585297705904], [409.00956434004354], [137.90572118428844], [75.34965244517748], [54.30757568236565], [22.9617575802522], [10.180819532760806], [-49.42438854836951], [11.712732311444398], [63.04057984921673], [-22.018246175282528], [38.72356979585919], [94.83941240989569], [-8.096079066753925], [65.18379338467355], [-48.303859189387545], [-97.09870498964622], [46.21698049580886], [17.432437820500382], [68.52487101258855], [35.95721162099774], [21.434419010352556], [70.13559107933617], [49.197802439763535], [-8.176306628545126], [84.38263936810527], [5.234855223312575], [30.9635839793342], [-30.48583941053608], [86.95478222411684], [-12.988403473930486], [30.52865189630173], [-27.407156205334978], [1.7709523076416294], [-14.538744685411297], [46.92029090936902], [-48.65692519602813], [-33.340526109539674], [24.87020859545625], [10.954167632744346], [13.567744564154708], [-31.9842041561995], [-1.5053788009727627], [84.21548670252261], [-73.91425211939394], [-15.878847717216837], [5.883881344964266], [30.952775605472894], [-14.108454497421127], [75.3053149982807], [22.665235297434197], [-44.27270262140785], [40.4883099696167], [-4.8055361480037835], [-50.56196520337581], [61.35664943353449], [32.37707385877845]]",2581.612513,2897.027108
0.16,"[[150.84829252439243], [9.057849684037173], [-152.94971686832218], [361.0758426369142], [238.1984807273981], [-25.808642487646207], [-93.53296139158299], [-165.32781425351723], [132.51627889931862], [402.92096120159556], [139.09291414667865], [74.65681995147358], [58.26281032733917], [25.630135952839275], [11.600051818847279], [-47.231545658099115], [12.355254497934299], [60.39360344108541], [-23.265333944734078], [38.33787101229585], [92.89633593228751], [-6.296265383621516], [65.59493733264306], [-45.36654073255783], [-93.66267533936335], [43.7574823841025], [15.108218844277275], [68.19124771901363], [36.32010298428418], [20.492821982271398], [67.56147281346884], [48.551580992199696], [-6.659267746687482], [83.82195967800541], [4.419420998549318], [30.5759972512826], [-31.084877750967987], [84.56921336035502], [-11.88151578268359], [28.21741568977563], [-26.593920507680824], [4.071389689251756], [-13.773326720075218], [49.85102014549694], [-45.75689731609847], [-33.82323425258369], [24.37815009172619], [7.743260613947626], [13.160040469916334], [-29.12822199945011], [-2.172433340421489], [82.07380384257567], [-69.31704730263218], [-11.785364468910124], [8.271059743766706], [31.133278857698254], [-14.375842616686532], [68.16274125225492], [22.501293310185932], [-42.957832765640596], [42.61975490247609], [-5.879443640077949], [-47.06547603665662], [60.87351979263487], [31.17750936900571]]",2593.905431,2897.354177
0.17,"[[150.78321596096933], [9.799132171440833], [-149.09168599470644], [356.181840103058], [235.61537163132002], [-23.87692840334451], [-90.68249533520118], [-165.12485687024792], [131.92700218504928], [397.5798397441391], [140.02526677946378], [74.06009372280964], [60.74008631708605], [26.88608877429196], [13.170114740673156], [-45.5386117736738], [12.522973986225846], [57.42377835902446], [-24.671683305082773], [36.31886322873943], [91.27012901481946], [-6.130876601025205], [65.00409564865488], [-43.97215004792843], [-91.65483489985542], [41.79637186480557], [12.649609548854635], [67.11986046384135], [35.49488059554473], [18.39967560461076], [64.97550781737381], [47.459832221236724], [-5.908696038409799], [83.22271542947982], [3.331550039499455], [30.018239931646285], [-32.374312939495745], [80.72258387936009], [-11.826413082063512], [25.762929745788206], [-24.963751164269517], [4.470313638782462], [-14.856639801557506], [50.24276963289969], [-44.14108183132032], [-34.58411969556635], [23.990110749799502], [4.9747778966198934], [11.664678754944138], [-28.3165043894582], [-2.5102373784518988], [81.31983462636492], [-66.00271021690874], [-8.598158844389662], [9.377531458090147], [32.29735903281623], [-15.167037012978595], [62.25016498007523], [21.757767400486003], [-40.90200686698885], [45.10346866220417], [-5.6253637863992205], [-44.847530503093815], [59.15917515737685], [28.66898677423863]]",2605.502896,2896.69692
0.18,"[[150.67428397543569], [9.862134704344944], [-145.73682974189754], [352.43114656820404], [232.37029116069186], [-23.434690457273604], [-88.16864058510662], [-162.63382293050984], [131.60124136725818], [391.9448781707451], [138.70162736504477], [71.48700462817398], [57.52378928380258], [26.642811805029847], [10.257725779730448], [-45.936322397393745], [10.817140620988196], [59.19679080651417], [-21.48054731982501], [38.70653455491187], [89.8802492460816], [-6.607445430501573], [64.52319084418336], [-44.699747405849266], [-91.24219184454812], [42.243204650714645], [15.52421170887816], [65.58661312217498], [35.665220425980316], [20.361843788141947], [64.95929681144834], [47.162993737257814], [-6.6618618928364715], [80.39163566909987], [5.118733023976186], [29.84088057782831], [-29.259558064269942], [83.67626604891645], [-14.360027560433881], [25.223673296608435], [-27.924141737629178], [3.6193534137586036], [-12.547310684102873], [48.692494073681566], [-46.05806697336271], [-34.23195106005301], [25.05680187852846], [6.353692365508752], [12.543292029547489], [-27.28060570767278], [-2.1261113219694714], [80.076902414577], [-69.03052380901946], [-14.419237586334264], [6.49231351921364], [31.078197052643176], [-14.602536426762498], [64.88300664566901], [20.458449174323487], [-41.69003435133279], [40.36554957071499], [-6.1772189582071135], [-47.21441124015958], [59.041786836456794], [31.40204762440322]]",2613.332189,2911.76713
0.19,"[[150.8186772726266], [10.44006756133851], [-142.5081404633696], [347.6475695575529], [229.88936069193943], [-21.70747378899024], [-85.87687007477332], [-162.38982033560856], [130.82176060838128], [386.7173715297077], [139.55511951500634], [71.06488698166666], [60.839394774934746], [28.418903839592726], [11.457297639605713], [-44.668213875483154], [11.673098033479091], [56.13468962744812], [-22.975085450291935], [37.46509071932129], [88.47490239456701], [-5.8972527436928965], [64.20926642344806], [-43.200472491473775], [-89.22394209757503], [39.58846395151598], [12.897801055026644], [65.00900754781915], [35.45204177311545], [18.697091846540577], [62.886928405539294], [46.02942089182282], [-5.802775863290118], [79.66330395405487], [4.144181450559699], [29.772373947728727], [-30.20621358812286], [80.18573539536011], [-13.960332421732655], [22.61763612682532], [-26.548642936637926], [4.792590582964116], [-13.148831927313164], [50.26781832217044], [-43.76000594165295], [-34.754305983930685], [23.785729643241684], [3.98593054453395], [11.776118831951157], [-25.460309505557206], [-3.2735624427355376], [78.82376312118244], [-65.2978231037069], [-10.436818389575532], [8.239065409166612], [31.907598035350397], [-15.668952066370185], [58.20915329512283], [19.936932163647665], [-40.17151971789654], [42.5155870599127], [-7.03785071956139], [-43.8634054763071], [58.19560624772156], [29.57042470625151]]",2624.971091,2914.557928
