lambda,w_l,mses3_train,mses3
0.1,"[[150.65337971464697], [6.500899243665611], [-180.1153287836391], [395.2383818342845], [260.5126874603118], [-39.858362945034784], [-113.06817193722102], [-168.06489216013657], [138.73220249237497], [451.5093292078001], [134.92725392139502], [82.37476129978427], [35.280556205628265], [13.129373563487308], [5.10680131833746], [-57.55305166164834], [-1.268018007542496], [84.01870021809852], [-6.439107553522396], [44.73321912921133], [102.6483645021628], [-9.250244721922254], [68.8745927384515], [-56.75664973400234], [-109.59939526929867], [71.17800655285029], [40.50658921888071], [74.52492999276622], [37.317701602890224], [27.161767481054763], [80.71605378267789], [57.87376361767789], [-15.518458578099988], [94.34082262471823], [4.182475861527525], [26.422181154377036], [-31.006240642430733], [107.09552846927426], [-13.448336078938787], [55.66538115934742], [-34.70268809210345], [-11.036660460031815], [-12.803497631597942], [40.03982868646786], [-65.86591235441534], [-29.074077296312353], [42.155716591790046], [29.229359142950013], [16.23670378377208], [-45.24235160158916], [10.418499012171711], [96.11353584483989], [-101.99404069319021], [-43.668262241571846], [-5.172350464785982], [28.559042928665807], [-8.001252321021852], [126.73708655541517], [28.513792961450896], [-45.5231567426917], [33.81334741689965], [6.578618290351141], [-80.32277387151332], [67.21883006756075], [44.391399840691214]]",2511.432281988938,2862.7579414256966
0.11,"[[150.68266886493456], [6.971116769985191], [-175.22195500701736], [389.1638052084561], [256.4746672969488], [-37.46522129006738], [-109.66581742547541], [-167.60754288054872], [137.54173217140294], [442.68684629395284], [135.8155052490181], [81.0550219929727], [39.35076177046722], [15.321829897228195], [6.248521862182519], [-55.76472994447758], [1.2170457395329919], [79.64242476872835], [-9.482266097892499], [43.51407451200532], [100.9668971515523], [-8.912864470711096], [68.26399768203898], [-54.83715102433976], [-106.89597078008897], [66.17567695789116], [35.93921247956388], [73.34814016586118], [37.05431717872504], [25.96366207583184], [78.38726673709724], [56.141185529839944], [-13.98550231512267], [92.30582934969459], [4.4399487376799085], [27.254166806504507], [-31.009854788323146], [102.96977124539237], [-13.387249538495176], [50.578420571323825], [-33.392350076790905], [-8.318800441870044], [-13.107380949161007], [41.537307767197724], [-62.36543069048787], [-29.995979796383246], [38.907400413222696], [25.360805795321234], [15.596702953970208], [-42.514491814711306], [8.137908461486031], [93.7645084591055], [-96.32690954810518], [-38.05469793421144], [-2.9435385892238077], [29.11284836175586], [-9.2208749792532], [116.22992621237039], [27.328921649116396], [-45.156223544183476], [35.28842839913318], [4.325605318692107], [-74.48267028205554], [65.93905444893082], [41.96923512608683]]",2524.600038524527,2867.6379091670997
0.12,"[[150.70712936095507], [7.438193204535562], [-170.57893639123034], [383.3246410577373], [252.64995385965784], [-35.25992336438998], [-106.41971022459681], [-167.03849691171683], [136.4747181108302], [434.48388981313786], [136.58321997346025], [79.77610764131882], [42.89710815531939], [17.315384067134275], [7.2045299902942705], [-54.11458126490782], [3.196099778451295], [75.89211122132916], [-11.888857220917245], [42.477478774862654], [99.32997768993863], [-8.59376110089159], [67.67454764687015], [-53.173173226687595], [-104.42305994111719], [61.8215154703409], [32.12418398041258], [72.1967361939071], [36.79830459877951], [24.8655093752217], [76.21636821152192], [54.619018860073666], [-12.637739355898951], [90.3208337497401], [4.63926158269342], [27.936239930284863], [-30.939130729011254], [99.28995528435894], [-13.45649713829189], [46.14107457097888], [-32.357497040750935], [-6.064922952571571], [-13.32048648973158], [42.83710068678316], [-59.38531921128449], [-30.771550614621283], [36.20599813984759], [22.060413717428368], [14.997124420491902], [-40.03178225646201], [6.2481811465039065], [91.60395206613502], [-91.40548247200478], [-33.3713542496712], [-1.0798461983230467], [29.582136802221797], [-10.273837670181456], [107.0810672766413], [26.249910525291707], [-44.67319215815297], [36.475120740386444], [2.374854344989852], [-69.46636171168396], [64.80967514761402], [39.918630658102444]]",2537.354899845917,2872.9622827114276
0.13,"[[150.72758278367158], [7.898097011140546], [-166.16247250876899], [377.7136108964092], [249.0160670666681], [-33.21461707488572], [-103.31719640536305], [-166.38820252973025], [135.50540673246752], [426.80766757367985], [137.24142154700704], [78.53271310778742], [45.9991192717884], [19.13077434461417], [8.010640452370959], [-52.58124972328582], [4.7813359471820895], [72.63314736738945], [-13.806270304270758], [41.59090722189846], [97.73915182593542], [-8.29249086705374], [67.10246891547924], [-51.709442613347], [-102.14302931527108], [57.98682111051293], [28.899817536610172], [71.07438858236647], [36.54891668603974], [23.85982252011951], [74.18564912724742], [53.25953788679], [-11.446051591285798], [88.40065823651365], [4.79964653249958], [28.49277428407592], [-30.81027629023037], [95.98444825443255], [-13.61542696558574], [42.22549785105862], [-31.528522985750193], [-4.170144164544528], [-13.459829342413933], [43.969680940942695], [-56.816986604775195], [-31.43056668416467], [33.93008462124627], [19.208648152041143], [14.436782974983236], [-37.756956330365355], [4.666537531405056], [89.60235135075979], [-87.08378324997928], [-29.422195106148862], [0.491865997135573], [29.981495233622802], [-11.184374486911072], [99.03305698888445], [25.260438506398653], [-44.11499102385547], [37.42835640474603], [0.6674250149018004], [-65.1125756571], [63.79682023991893], [38.167353742722085]]",2549.776886783925,2878.6458693869213
0.14,"[[150.744669058384], [8.348395840846724], [-161.9525933240631], [372.3207872467065], [245.55418786841673], [-31.307645023870517], [-100.34741782651925], [-165.67841081899675], [134.61473680975655], [419.58641364441075], [137.80035646653704], [77.32119458709158], [48.72120357191762], [20.7864270023754], [8.694213421826316], [-51.14846294750933], [6.055628515338061], [69.76786650827047], [-15.341955484721522], [40.828718124420305], [96.19473122732049], [-8.008135714596843], [66.54502272320335], [-50.40607432492755], [-100.0268853783619], [54.57577663034382], [26.14688391497536], [69.98286598519904], [36.305585952897175], [22.938692447782774], [72.28014603095411], [52.02878073844964], [-10.38710215030488], [86.55205980580573], [4.932823170064548], [28.943556092206443], [-30.635635018417954], [92.99645757367723], [-13.835642500549252], [38.73677832718597], [-30.85582967919404], [-2.5587862965310055], [-13.538694936860459], [44.95971454096812], [-54.580173920390344], [-31.995004511228068], [31.99057909429022], [16.71766693661381], [13.913728815783577], [-35.66060922154344], [3.3315051101039552], [87.73671500990008], [-83.25220828283533], [-26.06187031567452], [1.8269048419558853], [30.32217588453907], [-11.97313213829974], [91.89132565149438], [24.34742744183595], [-43.50931818058506], [38.190846915963554], [-0.840857469747732], [-61.29944174375335], [62.876446952480244], [36.660262362850645]]",2561.9245277254977,2884.6269141677913
0.15,"[[150.75889537448919], [8.78766328307525], [-157.9322587430736], [367.1350930916287], [242.24836538376226], [-29.521791654123152], [-97.50092541575117], [-164.92498039608395], [133.78828804457834], [412.76337463288894], [138.26940519804987], [76.1389753043625], [51.116148441654694], [22.298629204986522], [9.27649535042037], [-49.803484915767534], [7.081394187117176], [67.22356450400065], [-16.575823329029642], [40.17044079526239], [94.69625154409127], [-7.73958410246642], [66.00018246898586], [-49.233551964177124], [-98.05187746112486], [51.515475529799694], [23.775601644952864], [68.92276433321872], [36.06784829947117], [22.0943833663304], [70.48712814337058], [50.9019541455779], [-9.441967024931754], [84.77716395118858], [5.046139657024396], [29.304780862292763], [-30.424781597215713], [90.28028782334036], [-14.097003714184845], [35.6027944663299], [-30.30333120823228], [-1.174917198532107], [-13.567671348575807], [45.82737856119013], [-52.61424740852444], [-32.481485768042205], [30.320801097906298], [14.52148984872953], [13.425646083794925], [-33.71915876250793], [2.1964988311990066], [85.98881102227604], [-79.8267727146879], [-23.180317968949673], [2.9678297399725757], [30.613043790233746], [-12.657498432966968], [85.50581360514005], [23.50034799076507], [-42.875245509558056], [38.79620140949644], [-2.183815529527374], [-57.93313919929547], [62.031051105736466], [35.3545618079319]]",2573.841287742291,2890.859109690363
0.16,"[[150.77066976832882], [9.21511557729358], [-154.0867309780275], [362.14515465253834], [239.08493179466862], [-27.84311350993137], [-94.76939901332817], [-164.13967604747123], [133.01494719724923], [406.2927942106952], [138.65708142066603], [74.98417398411492], [53.22766195646709], [23.68174882094648], [9.774227926059883], [-48.53611712508484], [7.906435474755247], [64.94491424332143], [-17.568337186293753], [39.599552975044446], [93.24276385876965], [-7.485680000659748], [65.46642265584097], [-48.1695464897149], [-96.19985333723294], [48.74938895574656], [21.717128628390963], [67.89395483278197], [35.83530566070306], [21.31961874791483], [68.79568568467198], [49.860553610719585], [-8.595134502392826], [83.07543481228286], [5.144332463235159], [29.589806660265573], [-30.185254094576408], [87.79870356714768], [-14.38505675071019], [32.7676303338323], [-29.844303068614956], [0.02367045867648443], [-13.555327775010095], [46.589333109480506], [-50.87252539555626], [-32.902846565216656], [28.869959770959223], [12.569597158997823], [12.970092310130697], [-31.913417803414333], [1.225595360698719], [84.3439496194301], [-76.74197970452228], [-20.6926779338966], [3.9478984633165712], [30.861207837626395], [-13.252065179502928], [79.75874191059691], [22.710658906416935], [-42.22607478988198], [39.27116069656923], [-3.387827305387603], [-54.94026293436717], [61.247597807259744], [34.21655733398342]]",2585.5598749723936,2897.3066589510872
0.17,"[[150.78032479453663], [9.63038388888025], [-150.40312137530384], [357.33978123961947], [236.05206286963812], [-26.260133756658448], [-92.14543997112555], [-163.33135568001322], [132.2860128707865], [400.1371552761285], [138.97107462321463], [73.855368121506], [55.09226048818536], [24.948459376204884], [10.200776385606476], [-47.33803185904908], [8.567899930321285], [62.88900082254395], [-18.365940560887857], [39.10259034373408], [91.83302341449742], [-7.245299868449454], [64.94257724473312], [-47.196835566542035], [-94.45610862587797], [46.232958828553265], [19.91783711783961], [66.89586435509005], [35.607606912814305], [20.607701823532356], [67.19640274384659], [48.890498029871296], [-7.833764150510584], [81.44483182528353], [5.2305413786250385], [29.809729051588572], [-29.92305968700973], [85.52102637421913], [-14.689337234559547], [30.187167749211696], [-29.458650032120083], [1.0694115612648165], [-13.508681644771055], [47.259449946046374], [-49.3184708462923], [-33.269178817576666], [27.598772627171286], [10.822643924214228], [12.544639001253197], [-30.227573247767165], [0.39067087104749554], [82.790125726702], [-73.94595840067466], [-18.5324879383545], [4.793456154686458], [31.072455001925977], [-13.769084254488853], [74.55624201401521], [21.971370608671922], [-41.57116466457427], [39.637217674480816], [-4.4737984698428885], [-52.26255806548744], [60.51618115181461], [33.21937964025318]]",2597.105192167584,2903.941126290981
0.18,"[[150.78813459465013], [10.033368761789976], [-146.87005353293455], [352.70822656175056], [233.1394424061957], [-24.763272425993964], [-89.62241438916692], [-162.5067733906431], [131.59457810690245], [394.2652382775101], [139.21831205282734], [72.751440805308], [56.74069542355502], [26.109951430015055], [10.566935697480831], [-46.20231386775241], [9.095026653987272], [61.02197662227578], [-19.004784675432813], [38.668486640564346], [90.4656134451928], [-7.017389896863044], [64.42774237582057], [-46.30190475881218], [-92.8085666927], [43.9305487356242], [18.335365166671394], [65.9276535096772], [35.38443751250796], [19.952547756453765], [65.6810975516922], [47.98088651682597], [-7.147131010170933], [79.88250004084162], [5.306909770888795], [29.973824190895627], [-29.643033697136563], [83.4217333289166], [-15.002224366662027], [27.826056322672773], [-29.131061372149716], [1.9876341075255421], [-13.433532708907698], [47.84936673880624], [-47.92306953353959], [-33.58854152017121], [26.476446000838152], [9.249520048439791], [12.146951121090693], [-28.64844188221639], [-0.33058612122560316], [81.31740263072089], [-71.3970674751327], [-16.646975964715132], [5.525626103375689], [31.251557502183456], [-14.218869869450371], [69.82248595688056], [21.276710249145246], [-40.91713032532732], [39.9118077681906], [-5.458533123871872], [-49.85320626866147], [59.82913324224094], [32.341359110813414]]",2608.496400254902,2910.7393721305375
0.19,"[[150.7943274502762], [10.424145584719888], [-143.47740668792872], [348.24032077623], [230.338002123587], [-23.344433917381643], [-87.19433229638544], [-161.67113486343703], [130.93509439876897], [388.6507236716923], [139.4050272013643], [71.67148038527306], [58.19904802249958], [27.176123051878605], [10.881516592394302], [-45.12313699460239], [9.511091419567423], [59.316749941941104], [-19.513342655496942], [38.28807715205563], [89.13902714152216], [-6.800981331982609], [63.92120818601215], [-45.473984191760124], [-91.24718399813183], [41.813286770446936], [16.93583354363063], [64.98833095733369], [35.16551338383931], [19.348669692885366], [64.24261552512769], [47.123149083836665], [-6.526203537618105], [78.38518618745785], [5.374947298220415], [30.089893485926176], [-29.34910053633979], [81.47940642468343], [-15.318151536339384], [25.655581499115442], [-28.849737210501434], [2.79840011192438], [-13.334709517141205], [48.36891416591037], [-46.66298349290397], [-33.8674588821474], [25.478549732479486], [7.825289571636979], [11.774828993183393], [-27.164918586485793], [-0.9560845179750821], [79.91746094062574], [-69.06147144556081], [-14.993729971817135], [6.161528779226819], [31.402495250884638], [-14.610137196776755], [65.49548146502521], [20.621865550257002], [-40.26864922606434], [40.109194583244424], [-6.355708246345886], [-47.674154528960294], [59.18041806317376], [31.564842592944764]]",2619.7483862258205,2917.68216413278
