lambda,w_l,mses3_train,mses3
0.2,"[[150.79909517678027], [10.802902378935205], [-140.21611617640605], [343.9265259539091], [227.63971723776768], [-21.99670221521563], [-84.8557528425111], [-160.8284890289918], [130.30305738322627], [383.27116595250226], [139.53682809943203], [70.61471413613094], [59.4895808249985], [28.155747643050326], [11.151778349110527], [-44.09553064308582], [9.83480978858417], [57.75135171058963], [-19.914277181590307], [37.95372001660152], [87.85172212744652], [-6.595193867960244], [63.42241015473127], [-44.704370816256926], [-89.7635120119098], [39.857509058476936], [15.69184601236479], [64.07682727310318], [34.95057690977822], [18.791142033639847], [62.87466339711149], [46.31045360507404], [-5.963319321635323], [76.94949003995384], [5.435753232783742], [30.16453408639136], [-29.044467199500787], [79.67593266605834], [-15.633053057796563], [23.65213315450747], [-28.605491796932817], [3.5178040476407713], [-13.216255873985432], [48.826448846024476], [-45.519224340816784], [-34.11127692267103], [24.585493103425414], [6.529718164938572], [11.42622727140444], [-25.76756080392162], [-1.5003500040273599], [78.58326302706229], [-66.91137829904751], [-13.538295392612387], [6.715175596079465], [31.528620287172604], [-14.950281355256722], [61.52400232149287], [20.002788509406518], [-39.62901285707696], [40.24113680982701], [-7.176580108325846], [-45.69415969883409], [58.56521051707144], [30.875318212376378]]",2630.8728231964965,2924.7532216474037
0.21,"[[150.80260026133914], [11.169898428771631], [-137.07801551293343], [339.757946522589], [225.03744375979736], [-20.714111615549612], [-82.60170866389086], [-159.9820091040603], [129.6947760884087], [378.1072269133171], [139.6187620361439], [69.58046410616588], [60.63140754555923], [29.05661995663041], [11.383753071132562], [-43.11520756066677], [10.081365983622222], [56.307758163518116], [-20.22579706674469], [37.65900385904641], [86.60215661508573], [-6.399232763207834], [62.93089383186337], [-43.985942436823564], [-88.35036968885684], [38.04361682491766], [14.581027598989502], [63.192042753895265], [34.73939399653135], [18.275553872456378], [61.57167535698788], [45.53728364629145], [-5.451933142106204], [75.57201523474805], [5.490156247351708], [30.203352952049894], [-28.731769252252562], [77.9958866292325], [-15.943970483561298], [21.79608511322325], [-28.391111138436052], [4.158906072976878], [-13.081574784082278], [49.22911555752722], [-44.47618302655467], [-34.32442373499253], [23.78141357032719], [5.346202559230473], [11.099260114539577], [-24.448271191496662], [-1.9752747018064287], [77.30879958937774], [-64.92373628628208], [-12.252411518925639], [7.198134211355233], [31.632780525756875], [-15.2456050683476], [57.8653094753719], [19.416044253117843], [-39.000511085096214], [40.31739616809472], [-7.930505463949667], [-43.88733436874732], [57.97959854608664], [30.260758544863826]]",2641.8789461590904,2931.9385441674426
0.22,"[[150.80498136165232], [11.525436558523854], [-134.05570948820463], [335.7263138102938], [222.5247875017158], [-19.49147147851267], [-80.42764463252982], [-159.13419743244629], [129.1072007658841], [373.14209330504934], [139.65537517252062], [68.56811761308329], [61.64102569403977], [29.88568228071899], [11.582491906543584], [-42.17843442187709], [10.263178536434559], [54.97102694674231], [-20.462657384202345], [37.39851959385612], [85.38881319803752], [-6.212382887316917], [62.446288909251784], [-43.312803221358976], [-87.00159524057163], [36.355223813354414], [13.584939507674736], [62.332878228320624], [34.53175171308263], [17.797959713956214], [60.328704231085354], [44.79913269797547], [-4.986419179143789], [74.24945792894381], [5.5388032059261905], [30.211137617817577], [-28.4131826446851], [76.4260479914166], [-16.248768707523187], [20.0709616406562], [-28.20088567859461], [4.732414211757858], [-12.933541431725633], [49.5830557062245], [-43.52090886783868], [-34.51060274088635], [23.05335427314868], [4.260979902166154], [10.792198267526341], [-23.200052122285573], [-2.390676883812314], [76.08889559929034], [-63.07925562253286], [-11.11269656719905], [7.620030630808078], [31.71741437917176], [-15.501503824708017], [54.48343343802108], [18.85869391654544], [-38.38470386949068], [40.346128441801284], [-8.625332206030672], [-42.232050090956285], [57.42036874163649], [29.71112114016345]]",2652.7741263297125,2939.2259298658405
0.23,"[[150.80635759410933], [11.869844461861359], [-131.14247082580906], [331.8239563464652], [220.0959974941358], [-18.32423034440696], [-78.32936757324998], [-158.28703691094276], [128.537792569087], [368.3610279812294], [139.65076653126457], [67.57710750213086], [62.53274405779516], [30.649133105923376], [11.752254290739941], [-41.28193289880565], [10.390477684439116], [53.72865296492446], [-20.636906789133295], [37.1676805428863], [84.2102142239904], [-6.034001507225106], [61.968289926333696], [-42.68002107314735], [-85.71185560560548], [34.77851119148638], [12.688262333685104], [61.49825466412514], [34.327456267098455], [17.35483127567377], [59.141332364414474], [44.09227925388646], [-4.561914210234951], [72.9786567269035], [5.5822163159340175], [30.19199343663849], [-28.09051048540302], [74.95502036035688], [-16.545928815598522], [18.462808070119085], [-28.03026559471649], [5.247190708508062], [-12.774593068975701], [49.89357447838808], [-42.64256606967765], [-34.672938417161475], [22.390646989464322], [3.262535460539798], [10.503461605832854], [-22.01681352734554], [-2.7547245980209647], [74.91905982481686], [-61.3616640316011], [-10.099653447666467], [7.988932934704243], [31.784624141750374], [-15.72261650194791], [51.34786194288186], [18.32820323944667], [-37.782615870222976], [40.334187529315464], [-9.2676963834787], [-40.710099438144496], [56.884849627438754], [29.217964141820808]]",2663.5643007697795,2946.6046237835194
0.24,"[[150.80683191518187], [12.203462103966011], [-128.33215503153565], [328.04376303608586], [217.74587842590768], [-17.208369201476998], [-76.30300447407626], [-157.4421043729541], [127.98442362373098], [363.7510192389853], [139.60863639017936], [66.6068989577145], [63.319028739539114], [31.352520588577075], [11.896655033959178], [-40.42280285483072], [10.471746089102801], [52.57008106056334], [-20.758452802046527], [36.96257935779569], [83.06493139117032], [-5.863510813562524], [61.496641757602546], [-42.08343028587791], [-84.47649847030584], [33.30173311230076], [11.878173409756036], [60.68712533635582], [34.12633120335603], [16.943012292730888], [58.005598106261566], [43.41361902177853], [-4.174192162248025], [71.75661839123296], [5.620830370888118], [30.149454657906574], [-27.765251167776572], [73.57292713178737], [-16.834395355935296], [16.959709072055645], [-27.87560335854138], [5.710633137058006], [-12.606801343897713], [50.165275917602166], [-41.8320186607229], [-34.814087718844405], [21.7844435008068], [2.3411530820909032], [10.231609351078728], [-20.89322085442621], [-3.0742602674669444], [73.79536678790406], [-59.75713319773629], [-9.196908434896482], [8.31164791760413], [31.8362336313565], [-15.912948164116626], [48.43252475872786], [17.822370695301082], [-37.194877425239696], [40.28736407004635], [-9.863250961619901], [-39.30604827745468], [56.37079545301081], [28.774147245143066]]",2674.2542966714573,2954.065056016317
0.25,"[[150.80649381476343], [12.526633236040993], [-125.6191294981287], [324.37914352459296], [215.46971807177525], [-16.140316661831005], [-74.3449673680356], [-156.6006564839153], [127.44529950456118], [359.3005034650848], [139.53232938458666], [65.65698073657789], [64.01078545645892], [32.00082294523808], [12.018779828109924], [-39.59846186633061], [10.514058950202013], [51.48633244787548], [-20.835494190177027], [36.7798732784752], [81.95159136625887], [-5.70039072007765], [61.031128593564176], [-41.519481316750195], [-83.29143606421606], [31.91483326165381], [11.143866637805829], [59.89848303147604], [33.92821577052047], [16.559677171757752], [56.9179347419636], [42.760538147100455], [-3.8195628902702614], [70.58052845173586], [5.655017306661216], [30.086574924516803], [-27.43865240708912], [72.27116661192012], [-17.113462693428172], [15.551415334334592], [-27.733959296446482], [6.128964905539283], [-12.43193105480334], [50.40217286859777], [-41.081509716924614], [-34.9363263512305], [21.22735566929727], [1.4885698921284778], [9.975329315535767], [-19.824573563564897], [-3.3550522121798956], [72.71436317116647], [-58.25383188453098], [-8.390621430807622], [8.593952829716265], [31.873833989272402], [-16.07597050931411], [45.71499945854183], [17.339270547615723], [-36.62182769761125], [40.210574353487196], [-10.41684409510959], [-38.00672969322959], [55.87629888007184], [28.373596719455747]]",2684.8480780945993,2961.5986434097717
0.26,"[[150.8054214812629], [12.839699716315], [-122.99821392681096], [320.8239883350961], [213.2632266514925], [-15.116880822407222], [-72.45192352526759], [-155.76369551033184], [126.91889845660774], [354.99914325151474], [139.4248727514979], [64.72685939238114], [64.61759149083674], [32.59851767574636], [12.121276819950996], [-38.80659698391895], [10.523349135254424], [50.469714880898], [-20.874855088547672], [36.61669142020409], [80.86887865931423], [-5.544172198322656], [60.57156550499378], [-40.98512505216328], [-82.15305296168374], [30.60914425671917], [10.476178268323245], [59.1313639337486], [33.73296342986128], [16.202293739427084], [55.875119423371075], [42.13081630122312], [-3.4947898530555976], [69.44775249122381], [5.685102584218686], [30.006001460270646], [-27.11175449540241], [71.04221322810596], [-17.38268976034763], [14.22905095420316], [-27.602953227268667], [6.507459288406021], [-12.251488265980456], [50.607777061904315], [-40.38441074503014], [-35.041616336183374], [20.713176159952287], [0.6977081052086813], [9.7334269953556], [-18.80670712674929], [-3.601991547677425], [71.67299287406719], [-56.84157413609236], [-7.669024320205119], [8.840778176889566], [31.89882045249465], [-16.214704364760244], [43.17588359916179], [16.87720739013249], [-36.06359079869431], [40.108011080960615], [-10.932659555984234], [-36.80084467766387], [55.399724567830326], [28.011119074433495]]",2695.3489350229265,2969.1976367703505
0.27,"[[150.80368355678593], [13.14299775797122], [-120.46462983807179], [317.37263027631815], [211.12248577805477], [-14.135193988185446], [-70.62076992425615], [-154.93202017268902], [126.40392328495527], [350.8376480129483], [139.28901019140957], [63.816055524662424], [65.14788752964824], [33.14964126314478], [12.206429850660864], [-38.04512580057542], [10.50461577363701], [49.51359529421269], [-20.88224562709248], [36.4705593393135], [79.81553661282177], [-5.394431254792686], [60.11779193821456], [-40.47772265440384], [-81.0581322198708], [29.377149646387547], [9.867292405034945], [58.384849299204234], [33.540440491804695], [15.868590003551986], [54.874230188785106], [41.52255180119279], [-3.1970226589830846], [68.35583179833547], [5.711376254495929], [29.910036242138265], [-26.785425209552642], [69.87945493162358], [-17.64183565377624], [12.984881686123654], [-27.480650202889027], [6.850614054471879], [-12.066759987569132], [50.78517338425958], [-39.73502391617376], [-35.13165948435671], [20.236659689247308], [-0.03753541480395661], [9.504814992255918], [-17.83591330548858], [-3.8192477733793515], [70.66853645126957], [-55.511539690277196], [-7.022056100974094], [9.056353206247529], [31.912422159741457], [-16.33178773310559], [40.79829370916783], [16.434679583748384], [-35.52013238653552], [39.983264591609085], [-11.414328445012842], [-35.67864419916841], [54.93965807289185], [27.682252050582314]]",2705.7596291193154,2976.855001187919
0.28,"[[150.80134057109797], [13.43685550581445], [-118.01395745986879], [314.01980794355165], [209.04390518090466], [-13.192667421503637], [-68.84861121054483], [-154.1062653194106], [125.89926293755317], [346.8076275497978], [139.12723182079893], [62.924101394258415], [65.60913729821736], [33.657840763626304], [12.276217511185793], [-37.31216469065393], [10.462089772576], [48.61221963381599], [-20.86246699878945], [36.33933726302414], [78.79036710402193], [-5.250783570888682], [59.66966666786189], [-39.99497460954809], [-80.00379566676531], [28.21229374410334], [9.310507165358771], [57.65806566501392], [33.35052487123626], [15.556524676777446], [53.91260957296172], [40.934103177685415], [-2.9237414123463568], [67.30247575254239], [5.7341005329374894], [29.800686717548594], [-26.460388190572345], [68.7770592764241], [-17.89081068253799], [11.812129612977145], [-27.36547176376647], [7.162288936853806], [-11.87884709897052], [50.93708146502337], [-39.12842456177548], [-35.207940121068724], [19.793350188850745], [-0.7224558602659439], [9.288503028872187], [-16.90887477860756], [-4.010392782022452], [69.69856175560139], [-54.25604982760166], [-6.441071938073534], [9.244322652517557], [31.915726521762007], [-16.429532173736877], [38.56746195479415], [16.010349634659242], [-34.99130201297508], [39.83942102534701], [-11.865018866848947], [-34.63167393676995], [54.49486610812993], [27.383144526214615]]",2716.082506704085,2984.5643207941216
0.29,"[[150.7984461215891], [13.721591531379268], [-115.64209866118097], [310.76063171450255], [207.0241857851094], [-12.28695398705992], [-67.13274052764585], [-153.2869331357087], [125.40396158117241], [342.90147142589257], [138.94180066184973], [62.050539455512826], [66.00796114772577], [34.1264184886555], [12.332361121609127], [-36.60600264170286], [10.399366187106311], [47.760568742996256], [-20.819574111285586], [36.2211692073213], [77.79222938178697], [-5.11287977946624], [59.227063859285295], [-39.534864349360916], [-78.98745521434925], [27.108828386548627], [8.80004745908051], [56.950184103155365], [33.163104954192434], [15.264261137251573], [52.98783362152102], [40.364043158491185], [-2.672710497459522], [66.28555245710747], [5.75351506487714], [29.679708070655188], [-26.13724616892516], [67.72986240608232], [-18.129638961805643], [10.704823614810312], [-27.256126474878457], [7.445814845789874], [-11.688691813898956], [51.06590702104488], [-38.5603346629894], [-35.27175952844175], [19.37944314659584], [-1.361673716290447], [9.083588688630902], [-16.02261113731741], [-4.178500488821335], [68.76088339305376], [-53.06838620157781], [-5.918609262128881], [9.40784114061131], [31.90969930679988], [-16.509969730799167], [36.470408798282854], [15.603020026225867], [-34.476864972668544], [39.67914233314909], [-12.287508519479447], [-33.652567732387546], [54.06426532211317], [27.110459028414407]]",2726.3195867364248,2992.3197218087876
0.3,"[[150.79504785071714], [13.997513963021088], [-113.34524488262932], [307.59055238325897], [205.0602880262928], [-11.4159170739157], [-65.47062273627688], [-152.4744178807429], [124.91719352488911], [339.11224877734327], [138.7347760784263], [61.1949214971073], [66.35024843680705], [34.55837079735492], [12.376363986809498], [-35.925079497808134], [10.319510854706685], [46.954242087422124], [-20.75700555865232], [36.114440831896104], [76.82003833544923], [-4.980401328697418], [58.78986998231154], [-39.09561305034153], [-78.00677284051552], [26.061688471834827], [8.33091393487385], [56.26041886603205], [32.978078568955084], [14.990144477608162], [52.097685365771255], [39.811122119208186], [-2.441939966991818], [65.30307858658863], [5.769840651851217], [29.54863861697498], [-25.81650008607827], [66.73327648072298], [-18.358429705933165], [9.65767771868777], [-27.151555164743463], [7.704081372587509], [-11.497100702407621], [51.173784880402096], [-38.02702042974991], [-35.3242639375122], [18.991675145835565], [-1.9592421337064625], [8.889248927983115], [-15.174433959846937], [-4.326227465160652], [67.853529169504], [-51.94264330216288], [-5.448198302256817], [9.549650064458106], [31.895201316543233], [-16.574892168290226], [34.495675325285994], [15.211613365580249], [-33.97652635472177], [39.5047318925032], [-12.684243908989], [-32.73487925311856], [53.64689753775199], [26.861292060799187]]",2736.4726296039526,3000.115809462218
0.31,"[[150.7911882607214], [14.264920053946494], [-111.11984923066227], [304.50533241971345], [203.14940450931618], [-10.57760455162919], [-63.859879637262004], [-151.66902563294803], [124.43824274681226], [335.4336244440504], [138.50803452605925], [60.35680818014252], [66.64125254014233], [34.95642185947155], [12.409543725573709], [-35.26796771925962], [10.225146880160263], [46.18936318678917], [-20.677688200346147], [36.017744352012485], [75.87276240596664], [-4.853056874607844], [58.357981382725825], [-38.675643088159234], [-77.0596274456384], [25.066390127886706], [7.898760233149086], [55.588025661933436], [32.795352054498125], [14.732681299594319], [51.24013200133488], [39.274238821262344], [-2.2296530998761463], [64.35320905819562], [5.78328194476142], [29.408829579325587], [-25.49856492359507], [65.78321205198218], [-18.577355119101384], [8.66599136655335], [-27.05088747186158], [7.939607456375017], [-11.30476407223107], [51.262615205769116], [-37.5252087716896], [-35.366467451162485], [18.627234613617052], [-2.518734133025662], [8.704732358687401], [-14.361909195008595], [-4.455878646295206], [66.97471213080595], [-50.87360746314577], [-5.024207532551594], [9.6721406101297], [31.873002325466977], [-16.625883917380037], [32.63310282732668], [14.835155967017307], [-33.489949259876596], [39.31818862761012], [-13.057389001376077], [-31.87294386925534], [53.241909936306236], [26.633108583644532]]",2746.5431910881325,3007.947615588465
0.32,"[[150.78690539663643], [14.524096050534382], [-108.96260206629353], [301.5010197511682], [201.2889362946592], [-9.770226796849776], [-62.29827688911956], [-150.87099015306217], [123.9664860738011], [331.859788256259], [138.2632879427216], [59.53576882871181], [66.88567154121999], [35.32305311536155], [12.433059058584051], [-34.633356972353916], [10.118525220292298], [45.46250212564188], [-20.584121852944254], [35.92984918505233], [74.94942128821572], [-4.730579141990997], [57.93130236499763], [-38.27354825570775], [-76.14408720539338], [24.118946823326667], [7.499792573514491], [54.932299722958014], [32.614839419116024], [14.490521932779739], [50.413305160201745], [38.752416808654246], [-2.0342589976324055], [63.43422690292851], [5.794029438407511], [29.261470245205803], [-25.183782871964496], [64.87601263481167], [-18.786633322194934], [7.725567063198551], [-26.953407155202306], [8.154598875987256], [-11.112272349200653], [51.334094129700716], [-37.0520187087145], [-35.39927094856008], [18.283689238539235], [-3.043313945596317], [8.529352268700965], [-13.582825472506107], [-4.569461217924509], [66.12280711222625], [-49.85665698603719], [-4.641716774022816], [9.77740574005724], [31.843792805949864], [-16.664349861578174], [30.873650107826702], [14.472764190941646], [-33.016768623125074], [39.121251889136396], [-13.408865463019465], [-31.061764610129426], [52.84853906323874], [26.423687816927774]]",2756.532664817394,3015.810554534206
0.33,"[[150.7822334220059], [14.775317264443473], [-106.87040954673499], [298.5739239136303], [199.47647223331984], [-8.992138036382498], [-60.783712369767386], [-150.08048570444865], [123.50137928179315], [328.3853950106506], [138.00210006851864], [58.73138137422417], [67.08771706407823], [35.660529046572805], [12.447932132242258], [-34.02004101770921], [10.001582630280947], [44.77061161658141], [-20.478448291103533], [35.84967728381084], [74.04908352934343], [-4.6127221959315], [57.50974367456331], [-37.8880693116835], [-75.2583863516722], [23.21579981449624], [7.13068709941481], [54.29257377608356], [32.43646158205564], [14.262444783851883], [49.61548378069332], [38.24478523486304], [-1.8543293207607574], [62.54453355982291], [5.802260989858435], [29.107609308683102], [-24.87243433608841], [64.00839929213902], [-18.986515145747937], [6.832641917887136], [-26.858524246717636], [8.350995347093582], [-10.920129970893672], [51.389739774282035], [-36.604904688109244], [-35.42347777833276], [17.958926587768445], [-3.53579577849413], [8.36248033448748], [-12.835167252305244], [-4.668729071638546], [65.29633094976104], [-48.88767918821872], [-4.296412368131075], [9.867283319868392], [31.80819384843309], [-16.691538865036982], [29.209241127966155], [14.123633006321178], [-32.556601706864924], [38.91543885981527], [-13.740386151530616], [-30.29691744471084], [52.466097813817335], [26.231078163782982]]",2766.4423157366023,3023.700385632484
0.34,"[[150.7772031066235], [15.01884828065873], [-104.84037467783713], [295.720594397116], [197.70977087843158], [-8.241820411786298], [-59.31420577730959], [-149.29763747154487], [123.04244554740914], [325.0055131996603], [137.7259009470791], [57.943232386648546], [67.25117322759984], [35.970919775772416], [12.455067222135773], [-33.42690648109125], [9.875989495535542], [44.110973902552644], [-20.362507782826242], [35.77628232057292], [73.17086409668941], [-4.499259070754256], [57.09322129386926], [-37.518073764052524], [-74.40090554712057], [22.35376013026789], [6.7885214413990616], [53.6682159920697], [32.260145691097506], [14.047342553263771], [48.845079170656504], [37.75056318473006], [-1.6885784468283438], [61.682639717023015], [5.808143009293507], [28.94817304524408], [-24.564747171098425], [63.17742348644455], [-19.177273905720575], [5.98383037701356], [-26.765752581318548], [8.530509354250302], [-10.72876720966324], [51.430914439759775], [-36.18160946018998], [-35.43980686625082], [17.65110524768582], [-3.9986925334001056], [8.203540970203989], [-12.117091950645772], [-4.755219684227053], [64.49392568546372], [-47.96300111020519], [-3.9845000896847145], [9.943392090831273], [31.766765599995928], [-16.708563775133094], [27.632637224622588], [13.787026358464399], [-32.10905605858712], [38.70207587913989], [-14.053483151486573], [-29.574472176719148], [52.093964761448134], [26.053559526822703]]",2776.273306536247,3031.6131809250933
0.35000000000000003,"[[150.77184224172402], [15.254943253761333], [-102.86978051382094], [292.9378010022284], [195.98674458667253], [-7.517870292341451], [-57.88788930071115], [-148.52253006954732], [122.58926580474031], [321.71558096046374], [137.43599982975223], [57.17091714798195], [67.37944733456432], [36.2561209352645], [12.45526648217597], [-32.85292317815869], [9.743189517308997], [43.48115639241397], [-20.237885656828855], [35.70883205098543], [72.31392196622599], [-4.389979708649609], [56.68165548584888], [-37.1625390435372], [-73.57015519634113], [21.52995990579934], [6.4707177418138935], [53.05862796183222], [32.08582450927353], [13.844210085884725], [48.100621931447094], [37.269046773420946], [-1.5358464720738343], [60.84715675882035], [5.811831423066884], [28.783980846000073], [-24.260904462600656], [62.38042679330039], [-19.35919749097142], [5.176076035181585], [-26.674691579715603], [8.69465836329105], [-10.538550263981909], [51.45884359872876], [-35.78012468010077], [-35.44890372660887], [17.358614409490492], [-4.434256443444137], [8.052006257109229], [-11.426910354000073], [-4.830284871769552], [63.71434423651432], [-47.079331319108825], [-3.702632411243604], [10.007161827286186], [31.720014478889105], [-16.71641849237314], [26.137329359717786], [13.462269011375659], [-31.67373552916999], [38.48232479332592], [-14.349531371618596], [-28.8909260361956], [51.73157534258301], [25.889611652645513]]",2786.0267185434977,3039.5452971336463
0.36,"[[150.76617599501267], [15.483846258872425], [-100.95607520333405], [290.222516027976], [194.30544549015073], [-6.8189864572642165], [-56.50299921964382], [-147.75521452765025], [122.1414706551602], [318.51136801937866], [137.1335966756349], [56.41403973862274], [67.47561361311591], [36.51787117667747], [12.449243268788027], [-32.297135731290425], [9.604432797845542], [42.87897438197442], [-20.105950850626435], [35.64659331604017], [71.47745776619871], [-4.284689165788006], [56.27497003322997], [-36.82053841030333], [-72.76476117274774], [20.741811340170102], [6.1749949764546725], [52.46324273248557], [31.913435864267008], [13.652133650347464], [47.38075046811264], [36.799598467016494], [-1.3950845882876088], [60.03678883640831], [5.813472476129173], [28.615758540741467], [-23.96105110364988], [61.61500633934551], [-19.532582249319375], [4.406610860269714], [-26.585011414314014], [8.844791695531704], [-10.34978989572644], [51.47463221503023], [-35.39865779480577], [-35.451349762736385], [17.080040273016163], [-4.8445131642509685], [7.907391397537349], [-10.763069767289952], [-4.895116561626028], [62.95643810401083], [-46.233710781866066], [-3.447847449985309], [10.059858739870647], [31.66839937167387], [-16.715992590744797], [24.717446800071727], [13.14873960152157], [-31.250244802170492], [38.25720521426568], [-14.629768507824926], [-28.243147656292457], [51.37841452410954], [25.737887419258847]]",2795.7035682425067,3047.4933511105874
0.37,"[[150.76022721554259], [15.705791673752664], [-99.09685863101002], [287.57189811913776], [192.66405307369223], [-6.143959841278205], [-55.15786831561336], [-146.99571404439092], [121.69873355025267], [315.3889426469722], [136.8197924158192], [55.672213117963835], [67.54245109318458], [36.75776763852402], [12.437633463701417], [-31.758656268141177], [9.460803547392835], [42.30245956111205], [-19.967887969902687], [35.588919242493375], [70.66071149891313], [-4.1832060490692555], [55.87309163331643], [-36.49122907929458], [-71.98345254500286], [19.986971908688048], [5.89932886210335], [51.88152292309571], [31.742922154428108], [13.470281467415177], [46.684200857751335], [36.34163819175242], [-1.2653424535701934], [59.25032555413942], [5.813203419178062], [28.44414986194908], [-23.66529937236205], [60.87898503834018], [-19.697728277673185], [3.6729205114256684], [-26.49644088088586], [8.982113069384253], [-10.162748841991263], [51.47927881284568], [-35.03560407402098], [-35.44767016255455], [16.814137986961544], [-5.231290529645104], [7.769250640597504], [-10.124139448376821], [-4.950768489086139], [62.219146780152535], [-45.42347119493559], [-3.2175174796218196], [10.102606970282668], [31.61233697991925], [-16.708083883777135], [23.367679352418843], [12.84586469237883], [-30.838192776435516], [38.027613397611326], [-14.895312013004478], [-27.628329592451223], [51.03401066307342], [25.597190197889923]]",2805.3048203356984,3055.454198173505
0.38,"[[150.75401669658382], [15.921004575670747], [-97.28987044426447], [284.9832776128463], [191.06086313622615], [-5.491664595106568], [-53.85091899492156], [-146.24402874980967], [121.26076502389043], [312.34464282623], [136.4955981286968], [54.94505918786413], [67.58247651160013], [36.97727964142833], [12.421005136308851], [-31.236658031599944], [9.313243385767048], [41.74983327486432], [-19.82472406915957], [35.535238283026274], [69.86296035516243], [-4.085361151543257], [55.47594941652954], [-36.17384215818153], [-71.2250509685356], [19.26331473581587], [5.641917988325274], [51.3129589317381], [31.574229905795246], [13.297895330611418], [46.00979788574019], [35.89463589204614], [-1.1457572445660043], [58.48663524733398], [5.811153111266917], [28.2697263397683], [-23.373733675910923], [60.17038586682544], [-19.85493581132372], [2.9727146941306186], [-26.408757445323324], [9.10769960411622], [-9.977648190523912], [51.473687646328294], [-34.68952287508125], [-35.438340633673164], [16.559808109024893], [-5.596242932360968], [7.637173630497988], [-9.508797964168227], [-4.998174542573013], [61.501488577319435], [-44.64619947774287], [-3.0093053165194172], [10.136406856071883], [31.552206452236614], [-16.693409261074926], [22.08321084266673], [12.553113660224547], [-30.437195063620585], [37.79433831381918], [-15.147173587906446], [-27.043947905378992], [50.69793033201322], [25.466454589987865]]",2814.831398061085,3063.4249128540237
0.39,"[[150.74756340313598], [16.129701141715984], [-95.53297928804074], [282.4541432367569], [189.49427795055135], [-4.8610502578472214], [-52.580657039041945], [-145.50013966010985], [120.82730779319543], [309.37505098330644], [136.16194325442376], [54.23220883266743], [67.59797298723498], [37.177760841385634], [12.399866821715246], [-30.7303697622409], [9.162571017195303], [41.219483713067994], [-19.677351116019267], [35.48504480207568], [69.08351662971234], [-3.9909962589311405], [55.083474563664375], [-35.86767407529891], [-70.48846147152499], [18.568903248984252], [5.4011550832141815], [50.75706723962693], [31.407309374954238], [13.134283182655505], [45.356447090237275], [35.45810526876619], [-1.0355441329549202], [57.74465881873602], [5.807442558776533], [28.092995867845914], [-23.086414596356143], [59.48740955515697], [-20.004502475616437], [2.303901702866178], [-26.321779047158202], [9.22251791807092], [-9.79467287590009], [51.458679259534], [-34.359117411502766], [-35.42379317469997], [16.316076774903607], [-5.9408720966875945], [7.510782132559523], [-8.915822169808266], [-5.0381643387956965], [60.80255265370448], [-43.89970738768853], [-2.8211272214896095], [10.162150512987122], [31.488353412747518], [-16.672614063265815], [20.85966197072007], [12.269994273949244], [-30.046875801475984], [37.55807537828151], [-15.386271608100694], [-26.48772761444513], [50.36977393147024], [25.3447299733484]]",2824.2841913289562,3071.402771689597
0.4,"[[150.74088466955766], [16.332089044852875], [-93.82417309724332], [279.9821300242016], [187.96279746484046], [-4.251134874324595], [-51.34566591031777], [-144.76401197260836], [120.39813258243386], [306.4769717470126], [135.8196829603658], [53.53330193283856], [67.5910150837912], [37.36046003823239], [12.374674639310506], [-30.23907073919536], [9.00949890538241], [40.70994636416187], [-19.526544909016785], [35.43789096517386], [68.32172574190609], [-3.8999631035399567], [54.695600002020775], [-35.57207923954352], [-69.77266441507557], [17.901969401664957], [5.175602534871049], [50.21338881408031], [31.242114193021415], [12.978812529053087], [44.72312768049137], [35.03159848422802], [-0.9339879733379872], [57.02340409620269], [5.802185405009234], [27.914410139309005], [-22.80338234953656], [58.82841517768873], [-20.14672121534186], [1.6645664636935216], [-26.23535732828921], [9.327437827659665], [-9.61397642749909], [51.43499967730294], [-34.043217435715036], [-35.40442104194928], [16.082078925337147], [-6.266544859326374], [7.389727096195649], [-8.3440775652228], [-5.071476497477871], [60.121492050827726], [-43.18200541163117], [-2.6511212193326275], [10.180635179186481], [31.421093477415006], [-16.646280217319884], [19.693041021019603], [11.996048857243846], [-29.666868937810086], [37.31943822109307], [-15.613441824140835], [-25.95761305287964], [50.049171948276026], [25.23116639666074]]",2833.6640631229584,3079.385237760067
